counter,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
0,452.0122619363999,419.2121116089,419.80116990249996,441.7538018436,405.84882557609996,496.8490038121001,445.9593650625,429.2736459664,410.3817020944,423.7949242383999,411.14131862440007,443.3896685124001
1,511.67118602249997,495.8749580624999,534.4354509796,622.3059095236,586.4364506024999,638.2691907201,555.1390987321,550.3955294601,493.70662464009996,523.3516385344,545.5508504208999,540.8992124176
2,,,,,,630.8280233641,,,,,,
3,649.4250817924001,596.7008020516,636.3737796025,597.5854037136,572.9828414435999,640.5788893156,656.1087577444001,648.1723921928999,599.3942752009,591.2897406024999,572.2348132448999,635.9666898244
4,584.7580003329,601.0014050089,591.8350410756001,583.7022176048999,578.4029810001,622.9002665209,581.6084662336,586.8617685529,574.2953430916,570.9423513600001,565.5392903449,591.7683851641
5,475.3250238025001,480.39302533690005,508.83719705640004,550.6475241743999,516.3974463844,549.2728133649,514.8379152016,458.5486890625,517.8878761225,503.9607438649001,484.6567026064,473.29220787839995
6,542.4683519025,553.0215392881,551.3916437928999,559.2491874025001,535.0454741025,559.9309433796001,546.2933893264001,545.3056291684,541.5524728383999,527.8740597601,532.44178009,546.3120878224
7,745.7787501025,760.2763950720998,766.8202799104,763.8988432384001,731.0929200128999,771.1740108004001,752.7620809800999,736.8939147241001,733.0447950399999,741.3302216644,758.6515535769,764.4616712100001
8,444.1568895008999,477.4823708769001,503.67074361210007,377.51712804,,436.71386529,507.9181719616,514.2803450625,454.31771497289986,505.9777866025001,492.7005938596,472.0916436289
9,514.1261479225,524.6605559209,491.1506980864001,562.3926876324,477.6335943289,537.42830625,523.8646638480999,522.4337633760999,447.36353194090003,466.9393730884,472.0086475776001,510.88521167289997
10,540.2165953536,495.25164306249997,450.51293558410003,542.5666441636,457.14502290249993,544.6543091089001,556.7896210321,515.6319187009,489.33377439209994,413.3946970521,412.3502870881,478.1914924081
11,585.5891811025,627.2425079361001,628.0296626704001,617.62687441,645.4897341200999,635.28698401,599.4305098929001,596.7721323664001,587.1253686489,559.5443589961,579.4029312240999,553.6858420809
12,599.8272044769,528.1897904644,552.0709445161,554.6764494649001,531.4306657284,551.1948844516,600.3705460516,518.7990176656001,585.8534634481,499.45008862439994,543.7211959088999,571.0173822409001
13,403.0196776225,,410.1994014244,425.84078152809997,,,404.1422688240999,,430.23637177959995,419.7327392643999,404.46559436889993,459.54925641000005
14,429.0478394409,468.79308165689986,470.0197984035999,440.83369568160003,472.5071680729,481.5843417009,,,495.2102510224001,,494.4654900964,509.21487832409997
15,640.3364457169,634.5748931929,637.108081,644.7079592100001,593.4607571024999,662.6459304481,644.4779363649001,646.95448609,630.4282353888999,628.2812954916,638.1443927104001,638.4228050208999
16,450.2578437183999,464.8021229329001,462.7829235121,452.2848636601,,,460.4946895395999,452.67540986890003,407.07460768809995,,,466.16307645610004
17,677.9706741369001,686.9163986281,691.8015164944001,729.2446405208999,679.6850483929,720.3931152196001,709.4333463361,680.9558097168999,679.95256081,604.1724672064,640.4948640000001,629.3736247824
18,639.7318021264001,620.7741673156,652.6456324249,647.0531788175999,588.2390532496,637.7736074723999,637.0015684320999,594.7413767824002,585.5785336128998,607.7704090000001,626.0814674244001,638.4662650520999
19,528.8748873984,638.4192676416001,486.94101422759996,553.0328272224999,612.2586076996,533.8511912484001,530.2413473809002,632.5320570360999,511.9711731684,463.47243712810007,447.7815727225,483.7131625103999
20,585.0070990864,555.3092250000001,501.3779287609001,477.10965926559993,546.7020243556,519.1945045056,507.02429584,557.9771519715999,565.0709002884,529.0418608281001,413.58543424,541.3397942241
21,510.3270757764001,492.74676441,475.62026803840007,436.12182526090004,447.46294702240004,527.4063820088999,488.3158585369,361.76800804,377.3286825025,362.04309240489994,458.9697800163999,440.20487872359996
22,590.1459621264001,605.7869703076,600.7474530224999,605.9223479400999,547.0958424063999,594.42340864,582.9844053049001,565.8998688225,544.5716963236,604.3868231184,583.7650351129,594.7286954436
23,558.6028256484,586.2175543249,606.1926561604,595.1155371001,543.7081380025,616.1902653123999,580.4090452224,572.5166423824,536.5375403584001,592.0116730640999,591.4069516996001,615.7231816129001
24,632.6316557089001,631.04454436,627.5135220484,632.3333861376,595.3419441368999,652.4407621264002,635.6711647504001,628.6984552996,621.9552173408999,588.2390532496,599.75520201,628.7721746088998
25,767.4850203904001,781.8370938224999,778.1008986915999,825.2681071503999,796.6427220195998,836.3397938116001,759.4516314225001,759.5524976004,751.5899012196,803.1380292961001,806.4322050624999,816.2597564675999
26,708.0053540569,720.6953668929001,719.9733965824001,757.3410432288999,717.7132086289,765.9648506449001,724.1970770280999,710.5247431489,696.0178386225,732.20030464,740.7182764996002,754.9388188225
27,666.9858916449001,661.8409681129,667.5738225025,688.9443800625,642.1348585444,694.2102535369,676.1232456169001,646.7113474704,645.8317507684002,640.4386814720999,645.0766906896,656.9317572623999
28,563.8976870409,552.4765632324,599.6440230169,584.1246095689002,574.7291817201001,574.8217231936,598.4510898276001,588.5602152675999,535.3781502976,527.5960926916001,575.2524027364,548.48234809
29,532.7898034176,481.91928107560005,528.5617108209001,522.8457242724002,516.6319886116,566.5180666896,554.9798351600999,511.43912960040007,510.9805998143999,536.7029389225,522.29617444,560.4076147848999
30,436.9634194689001,460.82049689289994,464.45292836890013,415.9123808448999,435.8128037769,460.7050131216,453.1546760049,,433.0993858815999,436.5563108448999,433.10271565440013,443.0995530049
31,455.8212190009001,443.30039209,396.1437392896,,385.9696381321,,381.9143873169,413.6871244900001,371.76235969960004,385.9743532129,411.3485717929,463.2830064801
32,492.3597090724,470.2205760849,509.02895318889995,559.2387821328999,526.4014390335999,573.6250132209001,505.57972200999995,543.9329424169001,498.6226476196,474.97146194559997,538.0381789225,549.1176742276
33,,488.3755246084001,,,435.44838276,501.7456641024,,438.88699713689994,449.4857931663999,483.01050624999993,482.91820516,462.1261682944001
34,447.9661143441001,473.6403563583999,512.0711884200999,520.37821924,531.3495230404001,551.2061537284,523.6893557476001,534.7989255184001,509.2022415601,483.2527286601,487.9398252096,523.6650987129
35,559.1087244304,569.7611459089002,592.6210853161001,554.9850179344002,501.1638891560999,517.0512063376,587.1714078243999,590.0128444324,498.9228060963999,544.5147578256,551.4320331081,556.5640623920999
36,478.59437823999997,,425.95758878759995,519.3125418648999,423.7459303081,,524.1865198144001,441.5680227904,426.3138879169001,,,
37,459.9253400569001,454.2448215204001,512.5772976289,460.4067112681,466.0167022564001,532.6577811844,490.35319296640006,460.1913072849001,458.4775981681,492.2887062564,468.76450194090006,446.65736843290006
38,560.86554276,561.89857936,562.9567674241,564.2957491080999,536.3679985444,545.1669284161001,539.7597432529,485.29666730250005,477.4504684095999,545.7012800625,536.9921001480999,587.5746912036001
39,446.83195456000004,443.51770321960004,456.67091641959996,474.63328176639993,426.72610902250005,452.2584929769001,440.66238464159994,429.2007184656,433.2492383296,443.9693415364,425.55151521000005,432.3080956804
40,557.6063554161,580.7078204944,594.5326396416001,602.1865694601,579.2296344961,600.9837541009001,560.0800293201,583.7800151716,544.2277771160999,625.3935619369,631.7290150084001,639.9321377343999
41,416.9882436840999,455.15662335999997,441.25791769959994,443.97481990410006,406.3877000836,,413.42560243689996,453.76625720410004,411.4126645561,433.2200983235999,402.1697343889001,
42,506.79779810890005,511.0416348129,464.58008897440004,558.2247331684,521.1175840000001,562.1337516096,542.7231848164,483.9300425281,504.67981940640004,517.1539906404001,531.81894544,539.8568604324001
43,413.34142864,428.6854302784001,434.2510009161,453.77094361,408.7570107076,459.43393204809996,523.4609957329001,441.56255929210005,434.31185202250003,415.07868731039986,482.3623875625,
44,,,,,,,,,,384.3858251776,,452.1730062096
45,655.8592950624999,662.6629202175999,666.35227044,670.4919856996,642.7299884944001,684.6940955556,673.3459301881,662.6963855521,653.8213202049,652.5628629961001,656.3316238609001,670.7566470609001
46,1148.5341334008997,1139.4628101649,1155.7266561603997,1093.6460649024002,1045.3853830563999,1086.4875108480996,1151.3989473529002,1139.3487179776002,1137.1334923881,1083.0838968576002,1074.9106487888998,1107.2555727024999
47,615.4656416163999,622.1432718399999,616.2821145008999,645.1645720081,583.2693519409,621.16589824,667.0034534880999,625.2585267288999,579.6234406369,545.00303209,545.9260288035999,615.4825115664
48,,415.5270248704,409.79605329640003,,,,420.3254433855999,,412.4002423696,,419.2809093225,
49,593.6040087201001,599.7248349183999,563.2619342595999,579.7804226769,562.6056668761,602.65831081,607.4051064480999,591.2693149608999,577.8860213476001,581.0018518404,590.3806550625001,570.5209319363998
50,545.5004004025,537.5335599529,555.9093519528999,563.0901194304,507.68065933290006,587.6808669369,545.60083561,542.2191673599999,514.16016001,535.6924137008999,559.22317441,548.9503734961
51,742.7679792129002,741.7593872675998,747.5745740760999,764.6546727121003,737.2571701503998,785.0128068863999,762.8467233023999,758.5986707289001,770.2195730088999,737.5140549841,739.3009942081001,744.9406009600001
52,598.1179466025,579.0631015129,594.0489785344,624.9755002401,562.2831305001001,618.2493277444001,589.4227406808999,590.5604721025,573.6973459203999,576.8321403288999,577.1905345440999,591.2659107216
53,610.4793340944,632.9229513616,630.1495637283999,637.8811948161,591.9581454360999,640.6740571716,631.7506306225,611.3513392704,612.5857652209,639.1613210895999,619.47725449,633.1282569616001
54,405.78879364000005,443.7064196355999,457.8859589929,431.5399641316,405.20925063609997,447.4472937025,485.28785556250006,439.9292307601,,422.72963695209995,448.93558160999993,478.1355130161001
55,544.0868809489001,578.9442327876001,574.4305105983999,585.6472600225001,557.7074265888999,584.0322888976,574.0418270889,572.9742241344,554.2050472336,564.1356523715999,569.0247659776,569.9091474729001
56,456.5320228921001,459.5102417161,461.2400522500001,421.7864417536,442.2491232784,471.2906671928999,475.18201376890005,430.05510457290006,417.7478156543999,,389.4066808921,407.54928762250006
57,,487.48842313959994,424.80919881000005,439.2889030084001,442.08720925690005,480.1002472160999,440.2313152561,484.2354286225,480.65739121,,412.71100778410005,549.6764652324
58,522.6902482564,536.2086721924,528.5755051929001,458.2112704569,475.86499334889993,463.5133420096,544.8508313616001,432.6603842401,508.34015295999995,530.7840015625001,527.6613279743999,531.6330884089001
59,755.3999390116002,736.0618598116,731.5331767969001,738.06218929,711.4078531729,753.8961844089001,745.2037344964,751.4440597503999,720.9520353024999,737.1675696888999,740.9294888004001,721.8878119208999
