prot_IDs,prot_names,Gene_names,translation_G1_1,translation_G1_2,translation_G2M_1,translation_G2M_2,translation_MG1_1,translation_MG1_2,translation_S_1,translation_S_2
Q96IC2;Q96IC2-2;H3BM72;H3BV93;H3BSC5,Putative RNA exonuclease NEF-sp,44M2.3,21.26058,20.47467,21.01794,20.14569,21.11775,20.71892,20.58628,20.27662
H0YGH4;P01023;H0YGH6;F8W7L3,Alpha-2-macroglobulin,A2M,22.62015,22.26825,24.94606,24.21645,23.56139,23.46051,22.87688,23.35703
A8K2U0;F5H2W3;H0YGG5;F5H2Z2;F5GXP1,Alpha-2-macroglobulin-like protein 1,A2ML1,,,,,,,,
Q9NRG9;Q9NRG9-2;F8VZ44;H3BU82;F8VUB6,Aladin,AAAS,25.48382,24.42746,24.44556,23.93706,25.61462,25.45923,24.31645,23.92143
Q86V21;Q86V21-2;E7EW25;F5H790;F8W8B5;Q86V21-3;F6UZ17;F5GWW7;F5H4V2,Acetoacetyl-CoA synthetase,AACS,24.18177,24.51533,24.15993,24.05001,24.11656,24.22523,23.8944,23.78107
Q2M2I8;Q2M2I8-2;E9PG46,AP2-associated protein kinase 1,AAK1,21.80195,21.91787,23.46588,22.72438,22.69004,21.41375,22.44907,22.01492
C9JEH3;Q13685;C9JG97;C9JTS3,Angio-associated migratory cell protein,AAMP,23.29095,23.51641,23.64845,23.13105,23.37292,23.35178,22.97551,23.0747
P49588;H3BPK7,"Alanine--tRNA ligase, cytoplasmic",AARS,27.30895,27.57311,27.63872,27.03873,27.43651,27.14579,27.22738,27.54363
Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",AARS2,21.07503,21.85137,19.4298,,22.53704,22.67775,22.49395,22.19686
Q9BTE6-3;Q9BTE6-2;C9J5N1;Q9BTE6;H7C1W7;H7C1K1;H7BZ25;H7C0F3;H7C054,Alanyl-tRNA editing protein Aarsd1,AARSD1,22.67435,22.90547,23.71482,21.85483,22.88809,22.85681,21.60878,21.72576
Q9NRN7;B4DDW7;E9PLW6;E9PNF3,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,23.24256,22.25425,23.29306,21.38095,23.59639,22.70753,20.33211,20.30641
Q9NY61,Protein AATF,AATF,24.19895,25.04481,24.8521,25.40649,24.48327,24.42892,23.65469,24.07079
E7ETC3;Q9BZC7-3;Q9BZC7;Q9BZC7-2;E7EU84;E9PGB2;H0Y8D6;H0Y8C9;H7C5M6;H7C510,ATP-binding cassette sub-family A member 2,ABCA2,24.49137,22.98238,23.55157,23.05278,24.50246,22.77716,22.34838,23.31783
Q8IZY2;Q8IZY2-2,ATP-binding cassette sub-family A member 7,ABCA7,20.07535,,20.63591,,20.10329,,20.48738,20.11133
Q9NP58;Q9NP58-4;H7BXK9;B4E055,"ATP-binding cassette sub-family B member 6, mitochondrial",ABCB6,20.71347,21.65163,20.99604,21.73723,,,,22.23658
O75027;O75027-2;G3V1J3;B4DGL8;G3XAC4;E9PNQ5;E9PJR8,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7,25.30487,25.19077,25.3911,24.36105,25.38657,25.4353,25.06554,25.26152
Q9NUT2;Q9NUT2-2;H7BY43;A5D8W3;G3XAP3;E7ENE8;C9JTY4;C9JYI3,"ATP-binding cassette sub-family B member 8, mitochondrial",ABCB8,21.21928,21.55927,21.26699,,21.45914,21.27617,,
